time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-13T15:08:32.015Z,13.7104,120.8272,129.34,5.8,mww,,46,8.085,0.82,us,us6000f5na,2021-08-14T15:12:34.217Z,"6 km W of Bagalangit, Philippines",earthquake,9.5,7,0.048,42,reviewed,us,us
2021-08-10T15:12:50.251Z,15.4856,120.6583,131.98,4.2,mb,,113,7.304,0.73,us,us6000f8dw,2021-08-22T18:37:56.040Z,"0 km SW of San Manuel, Philippines",earthquake,13.7,9.3,0.146,15,reviewed,us,us
2021-08-03T16:20:17.057Z,13.4827,120.8529,91.53,4.7,mb,,110,8.572,0.77,us,us6000f1wl,2021-08-11T18:46:24.751Z,"3 km E of Odala, Philippines",earthquake,10.4,8,0.054,106,reviewed,us,us
2021-08-03T07:26:12.405Z,14.7449,119.6629,10,4.7,mb,,135,8.739,0.39,us,us6000f46t,2021-08-14T04:50:19.040Z,"49 km WSW of San Nicolas, Philippines",earthquake,13.4,1.9,0.086,41,reviewed,us,us
2021-07-28T20:43:15.785Z,14.6155,119.4186,10,4.4,mb,,129,8.909,0.85,us,us6000f1xq,2021-08-17T00:38:22.040Z,"79 km WSW of San Nicolas, Philippines",earthquake,8.6,1.9,0.139,15,reviewed,us,us
2021-07-24T09:43:35.089Z,13.7582,120.9719,121.88,4.5,mb,,111,16.126,0.45,us,us6000f0d1,2021-08-19T08:58:17.040Z,"3 km E of Mabini, Philippines",earthquake,11.5,8,0.087,43,reviewed,us,us
2021-07-23T20:57:18.713Z,13.7977,120.7434,120.58,5.8,mww,,19,8.203,0.84,us,us6000eyfn,2021-08-25T18:38:45.844Z,"6 km SE of Hukay, Philippines",earthquake,6.5,3,0.089,12,reviewed,us,us
2021-07-23T20:48:57.363Z,13.7053,120.7266,110,6.7,mww,,12,8.139,0.98,us,us6000eyfk,2021-08-25T18:06:34.844Z,"15 km S of Hukay, Philippines",earthquake,7.1,1.8,0.051,37,reviewed,us,us
2021-07-20T10:07:16.654Z,13.8005,120.8029,78.71,4.6,mb,,116,8.933,0.47,us,us6000ezem,2021-08-19T13:53:54.040Z,"11 km ESE of Hukay, Philippines",earthquake,10.3,8.7,0.105,28,reviewed,us,us
2021-07-10T00:36:20.073Z,13.9088,120.0528,63.98,4.4,mb,,116,8.68,0.43,us,us7000em5r,2021-07-17T22:10:14.040Z,"2 km N of Cabra, Philippines",earthquake,11.8,8.5,0.117,21,reviewed,us,us
2021-07-09T11:21:07.861Z,13.6165,120.9705,113.62,4.2,mb,,109,7.928,0.54,us,us7000elx0,2021-08-11T06:33:06.040Z,"10 km W of Ilihan, Philippines",earthquake,10.1,7.2,0.092,33,reviewed,us,us
2021-06-26T04:18:09.642Z,13.6823,121.0073,120.61,4.6,mb,,145,7.961,0.71,us,us7000ehyu,2021-07-02T00:04:02.040Z,"8 km SW of Wawa, Philippines",earthquake,10.1,8.8,0.141,17,reviewed,us,us
2021-06-22T13:32:55.398Z,14.9393,119.7818,35,4.4,mb,,108,8.529,0.56,us,us6000eprj,2021-08-27T18:58:23.040Z,"31 km W of San Nicolas, Philippines",earthquake,12,2,0.102,31,reviewed,us,us
